id,code,name,rating,review_number,address_line2,latitude,longitude,minimum_order_amount,minimum_delivery_fee,hero_listing_image,distance,url_key
7713,t1by,Rizwan Burger - Main Market,4.9,20040,"Gulberg ,13 Zanjani Road",31.5239661,74.3453302,249,99,https://images.deliveryhero.io/image/fd-pk/LH/t1by-listing.jpg,1.333,rizwan-burger-main-market
93255,ymhq,Tofu Chinese & Thai Food,4.8,1798,,31.5119049,74.3540941,249,99,https://images.deliveryhero.io/image/fd-pk/LH/ymhq-listing.jpg,1.039,tofu-chinese-and-thai-food-ymhq
109013,tzsu,Shahenshah Sajji and Grill - Gulberg,4.8,573,,31.52052457,74.35203117,249,99,https://images.deliveryhero.io/image/fd-pk/LH/tzsu-listing.jpg,0.637,shahenshah-sajji-and-grill-gulberg
90547,d3rr,The Pantry - Mall 1,4.9,1555,,31.5187509,74.3459751,249,99,https://images.deliveryhero.io/image/fd-pk/LH/d3rr-listing.jpg,1.224,the-pantry-mall-1
95007,n32f,BRIM Burgers,4.8,2109,,31.5186967,74.3460697,249,99,https://images.deliveryhero.io/image/fd-pk/LH/n32f-listing.jpg,1.216,brim-burgers
111121,fmj1,Baked - Gulberg,4.7,125,,31.52759425,74.3489523,249,99,https://images.deliveryhero.io/image/fd-pk/LH/fmj1-listing.jpg,1.228,baked-gulberg
9536,t7dj,The Hotspot Cafe - GULBERG,4.9,1998,"Shop # 9, Ground Floor, Al-Hafeez Heights Ghalib Road, Lahore",31.51424145,74.3447991,249,99,https://images.deliveryhero.io/image/fd-pk/LH/t7dj-listing.jpg,1.487,the-hotspot-cafe-gulberg
101224,sfvv,XO Chinese Chips - Cantt,4.9,1417,,31.51833545,74.38171085,249,99,https://images.deliveryhero.io/image/fd-pk/LH/sfvv-listing.jpg,2.188,xo-chinese-chips-cantt
69235,ohax,Golden Restaurant,4.9,5885,,31.52383655,74.34490335,249,99,https://images.deliveryhero.io/image/fd-pk/LH/ohax-listing.jpg,1.368,golden-restaurant
94582,hkoy,ZERO Degree,5,1681,,31.50743175,74.34736095,249,99,https://images.deliveryhero.io/image/fd-pk/LH/hkoy-listing.jpg,1.799,zero-degree
106162,xz78,Ishaq Yakhni Pulao - Gulberg,4.8,388,,31.5280045,74.3598897,249,99,https://images.deliveryhero.io/image/fd-pk/LH/xz78-listing.jpg,0.856,ishaq-yakhni-pulao-gulberg
89710,dh3u,SMASH - Gulberg,4.8,2249,,31.5202297,74.3518767,249,99,https://images.deliveryhero.io/image/fd-pk/LH/dh3u-listing.jpg,0.651,smash-gulberg
15743,u6co,Paola’s Cosa Nostra,4.8,1703,"23 A, Block H, Gulberg II",31.5270537,74.35150505,249,99,https://images.deliveryhero.io/image/fd-pk/LH/u6co-listing.jpg,1.012,paolas-cosa-nostra
84815,rz0y,ICE LAND Fresh Juices & Dry Fruit - Gulberg Hussain Chowk,4.7,4998,,31.50703455,74.35004145,249,99,https://images.deliveryhero.io/image/fd-pk/LH/rz0y-listing.jpg,1.697,ice-land-fresh-juices-and-dry-fruit-gulberg-hussain-chowk
107025,fuei,MEG - Gulberg,4.8,804,,31.5186598,74.34643815,249,99,https://images.deliveryhero.io/image/fd-pk/LH/fuei-listing.jpg,1.182,meg-gulberg
114317,n2z4,Sweet Creme - Kalma Chowk,4.7,154,,31.5054136,74.3322369,249,99,https://images.deliveryhero.io/image/fd-pk/LH/n2z4-listing.jpg,3.014,sweet-creme-kalma-chowk
76986,qgju,The Cheese Factor - Gulberg,4.8,3702,,31.51429695,74.34472717,249,99,https://images.deliveryhero.io/image/fd-pk/LH/qgju-listing.jpg,1.491,the-cheese-factor-gulberg
112715,x3t6,Keprek Smashed Chicken,4.7,148,,31.5219004,74.3510661,249,99,https://images.deliveryhero.io/image/fd-pk/LH/x3t6-listing.jpg,0.748,keprek-smashed-chicken
83436,m98s,Cafe Tandoori,4.8,2406,,31.5129135,74.3538544,249,99,https://images.deliveryhero.io/image/fd-pk/LH/m98s-listing.jpg,0.95,cafe-tandoori
88505,bhe0,Chick on Fire,4.7,5219,,31.5014911,74.3621287,249,99,https://images.deliveryhero.io/image/fd-pk/LH/bhe0-listing.jpg,2.124,chick-on-fire
106604,awcr,Ambassador Zhen,4.7,634,,31.5152333,74.3442883,249,99,https://images.deliveryhero.io/image/fd-pk/LH/awcr-listing.jpg,1.485,ambassador-zhen
106604,awcr,Ambassador Zhen,4.7,634,,31.5152333,74.3442883,249,99,https://images.deliveryhero.io/image/fd-pk/LH/awcr-listing.jpg,1.485,ambassador-zhen
112902,unsd,HOUSE - Specialty Coffee,4.8,107,,31.53028635,74.3732681,249,99,https://images.deliveryhero.io/image/fd-pk/LH/unsd-listing.jpg,1.764,house-specialty-coffee
63805,mmth,Sureela Tikka Corner,4.8,1670,,31.54572955,74.3772839,249,99,https://images.deliveryhero.io/image/fd-pk/LH/mmth-listing.JPG,3.322,sureela-tikka-corner
4346,s1xv,What a Paratha - Gulberg,4.8,17543,"Shop # 3/4, Ashrafi Height, Main Market, Gulberg 2 Block F Lahore.",31.5236393,74.3473351,249,99,https://images.deliveryhero.io/image/fd-pk/LH/s1xv-listing.jpg,1.141,what-a-paratha-gulberg
80082,sq75,Fri-Chiks - Gulberg,4.9,3073,,31.5238115,74.3476864,249,99,https://images.deliveryhero.io/image/fd-pk/LH/sq75-listing.jpg,1.116,fri-chiks-gulberg-sq75
101743,e32n,Crust Culture,4.8,1130,,31.50741165,74.3472936,249,99,https://images.deliveryhero.io/image/fd-pk/LH/e32n-listing.jpg,1.804,crust-culture
93737,kcnc,Howdy - MM Alam Road,4.8,896,,31.5107813,74.3502534,249,99,https://images.deliveryhero.io/image/fd-pk/LH/kcnc-listing.jpg,1.336,howdy-mm-alam-road
106223,aod7,Zaitoon - House of Shawarma,4.8,451,,31.52872974,74.37888272,249,99,https://images.deliveryhero.io/image/fd-pk/LH/aod7-listing.jpg,2.123,zaitoon-house-of-shawarma
82992,du7l,K7 CHINESE RESTAURANT,4.7,1192,,31.50058225,74.3487183,249,99,https://images.deliveryhero.io/image/fd-pk/LH/du7l-listing.jpg,2.397,k7-chinese-restaurant
64355,epkv,GB CHINESE,4.9,2716,,31.51926721,74.32296603,249,99,https://images.deliveryhero.io/image/fd-pk/LH/epkv-listing.jpg,3.394,gb-chinese
